MyUnknownColumn,Date,Open,High,Low,Close,Volume
278,"20220426  13:30:00",835.5,839.9,834.45,836.9,68850
279,"20220426  14:30:00",837.65,837.65,822.55,827.95,135150
280,"20220427  09:15:00",818.85,823.15,817.2,822.45,37400
281,"20220427  09:30:00",822.85,822.85,808.05,813.45,123250
282,"20220427  10:30:00",811.95,814.75,806.1,807.8,84150
283,"20220427  11:30:00",807.65,809.9,802.9,809.85,62050
284,"20220427  12:30:00",810,813.35,805.5,811.95,51000
285,"20220427  13:30:00",812.3,813.95,808.45,809.85,98600
286,"20220427  14:30:00",809.2,815.2,809.05,813.35,124950
287,"20220428  09:15:00",814.15,818.85,811.85,814.5,26350
288,"20220428  09:30:00",814.4,816.35,811.05,811.05,61200
289,"20220428  10:30:00",809.85,810.05,807,809.5,34850
290,"20220428  11:30:00",809.65,814.65,809.35,814.1,63750
291,"20220428  12:30:00",813.95,816.05,813.4,814.4,47600
292,"20220428  13:30:00",815.05,816.55,810.65,813.55,89250
293,"20220428  14:30:00",813.6,823,813.6,820.8,94350
294,"20220429  09:15:00",819.75,832.65,819.75,825.35,36550
295,"20220429  09:30:00",827.65,827.65,817.95,822.65,66300
296,"20220429  10:30:00",823.25,828.75,822.4,828.55,41650
297,"20220429  11:30:00",828.8,834,826.8,833.8,61200
298,"20220429  12:30:00",833.25,834.7,830.6,834.55,53550
299,"20220429  13:30:00",834.7,835.75,816.6,820.05,108800
300,"20220429  14:30:00",820.8,828.3,817.65,821.2,187850
301,"20220502  09:15:00",813,816.6,802.75,802.75,54400
302,"20220502  09:30:00",803.95,816.05,797.2,797.2,229500
303,"20220502  10:30:00",797.45,804.6,796.55,800.7,82450
304,"20220502  11:30:00",800.8,806.8,800.8,806.5,47600
305,"20220502  12:30:00",806.3,809,800.75,800.75,55250
306,"20220502  13:30:00",801.8,802.2,792.2,793.25,81600
307,"20220502  14:30:00",792.6,800.35,779.55,783.25,249900
308,"20220504  09:15:00",788.9,788.9,781.65,785.2,43350
309,"20220504  09:30:00",785,787.3,781.2,781.2,73950
310,"20220504  10:30:00",782.2,784.45,777.8,782.9,54400
311,"20220504  11:30:00",782.55,785.35,781.5,782.6,41650
312,"20220504  12:30:00",781.85,787.8,780.95,786.65,53550
313,"20220504  13:30:00",785.65,788.45,777.45,784.3,131750
314,"20220504  14:30:00",783.6,783.6,770.3,776.85,124950
315,"20220505  09:15:00",773.45,787.65,773.45,784.55,46750
316,"20220505  09:30:00",785.45,790.45,783.95,787,71400
317,"20220505  10:30:00",787.5,787.5,777.05,779,54400
318,"20220505  11:30:00",778.5,781.8,776.45,780.45,22950
319,"20220505  12:30:00",780.15,785.55,777.95,783.2,52700
320,"20220505  13:30:00",783.8,784.75,767.95,771.8,83300
321,"20220505  14:30:00",771.35,773.7,765.35,769.25,104550
322,"20220506  09:15:00",743.2,759.5,743.2,750.85,48450
323,"20220506  09:30:00",751.05,754.4,742.9,746.45,104550
324,"20220506  10:30:00",746.85,748.05,740,740.8,56100
325,"20220506  11:30:00",740,741.8,735.95,738.45,86700
326,"20220506  12:30:00",738.2,741.65,738.2,740.5,45050
327,"20220506  13:30:00",740.5,740.75,734.5,734.85,89250
328,"20220506  14:30:00",733.55,740.2,731.1,737.9,125800
329,"20220509  10:30:00",731,731.8,731,731.35,2550
330,"20220509  11:30:00",731.85,735.4,729.85,733.25,39950
331,"20220509  12:30:00",734.25,734.25,719.7,727.1,90950
332,"20220509  13:30:00",727.95,727.95,715.6,716.3,76500
333,"20220509  14:30:00",716.35,728,716.35,721.55,112200
334,"20220510  09:30:00",725.6,726.2,721.7,722.9,28050
335,"20220510  10:30:00",723.4,723.4,717.25,717.25,40800
336,"20220510  11:30:00",717.7,724.3,717.7,723.6,34850
337,"20220510  12:30:00",722.8,728.55,722.7,723.75,87550
338,"20220510  13:30:00",723.05,727.15,716.3,717.6,92650
339,"20220510  14:30:00",717,718.95,707.7,708.6,133450
340,"20220511  09:15:00",713.25,721.55,711.6,717.9,41650
341,"20220511  09:30:00",717,717.9,702.95,703.35,96900
342,"20220511  10:30:00",703.15,704.85,700.5,702.65,37400
343,"20220511  11:30:00",701.85,704.45,699.15,700.3,44200
344,"20220511  12:30:00",700.15,701,689.1,693.1,73100
345,"20220511  13:30:00",693.3,704.1,692.85,698.75,105400
346,"20220511  14:30:00",698.6,698.6,689.05,690.2,178500
347,"20220512  09:15:00",654.05,685.6,654.05,685.1,62050
348,"20220512  09:30:00",683.9,687.05,680.05,685.75,87550
349,"20220512  10:30:00",685.6,695.4,682.8,687.75,200600
350,"20220512  11:30:00",688.1,699.05,686.85,694.75,107950
351,"20220512  12:30:00",693.05,695.45,687.3,694.95,68850
352,"20220512  13:30:00",694.4,694.4,678.15,678.8,107100
353,"20220512  14:30:00",678.95,687.45,670.6,686.8,128350
354,"20220513  09:15:00",699.4,703.7,695.1,703.65,61200
355,"20220513  09:30:00",704.4,707.15,693.85,699.1,81600
356,"20220513  10:30:00",699.4,705.7,698.25,705.7,30600
357,"20220513  11:30:00",705.65,712.05,704.35,709.05,51000
358,"20220513  12:30:00",708.8,711.5,706.05,709.8,58650
359,"20220513  13:30:00",709.8,711.4,699.2,699.3,94350
360,"20220513  14:30:00",699,702.15,686.3,694.25,187000
361,"20220516  09:15:00",703.95,703.95,691.8,696.3,35700
362,"20220516  09:30:00",696.2,704.6,695.3,700.05,102000
363,"20220516  10:30:00",699.45,704,697.85,699.15,62900
364,"20220516  11:30:00",700.6,703,694.85,695.85,73100
365,"20220516  12:30:00",694.1,699.35,692.15,697.65,73100
366,"20220516  13:30:00",696.7,701.15,696.5,700,49300
367,"20220516  14:30:00",700.95,702.8,697.55,700.85,131750
368,"20220517  09:15:00",699.35,705.75,698.45,702.25,39100
369,"20220517  09:30:00",702.65,703.45,699.15,700.3,68850
370,"20220517  10:30:00",700.5,705.8,697.7,703.9,104550
371,"20220517  11:30:00",704.1,710.45,704.1,709.05,95200
372,"20220517  12:30:00",709.7,715.8,709.7,711.35,63750
373,"20220517  13:30:00",712.4,714.4,710.5,713.6,60350
374,"20220517  14:30:00",713.4,718.55,712.5,714.7,151300
375,"20220518  09:15:00",721.55,723.15,715,720.3,39100
376,"20220518  09:30:00",720.15,724.9,716.3,718.05,102000
377,"20220518  10:30:00",716.7,721.4,716.3,720.1,46750
378,"20220518  11:30:00",720.6,723.35,712.8,714.15,71400
379,"20220518  12:30:00",714.55,727.1,714.2,727.05,92650
380,"20220518  13:30:00",726.25,730.55,720.55,726.85,68850
381,"20220518  14:30:00",725.9,726.85,721.35,725.3,101150
382,"20220519  09:15:00",705.85,712.7,700,701.45,69700
383,"20220519  09:30:00",703.95,704.8,696.05,702.2,139400
384,"20220519  10:30:00",702.65,704.7,695.7,695.7,37400
385,"20220519  11:30:00",695.35,695.5,692.05,694.2,46750
386,"20220519  12:30:00",692.95,693.85,688.3,691.25,51000
387,"20220519  13:30:00",690.35,692,684.75,684.75,60350
388,"20220519  14:30:00",684.75,690.8,683.55,690.1,85000
389,"20220520  09:15:00",700.15,708.25,699.15,706.6,19550
390,"20220520  09:30:00",707.05,716.4,707.05,715.2,45050
391,"20220520  10:30:00",715.35,715.75,710.6,713,22100
392,"20220520  11:30:00",713.05,713.05,704.55,704.75,36550
393,"20220520  12:30:00",701.95,709.4,701.95,708.65,22100
394,"20220520  13:30:00",707.55,707.55,703.5,703.85,17850
395,"20220520  14:30:00",702.8,711.4,701.8,711.4,34850
396,"20220523  09:15:00",712.05,712.85,703.45,709.85,42500
397,"20220523  09:30:00",710.2,714.3,707.7,710.35,57800
398,"20220523  10:30:00",710.1,714.8,708.65,714.55,50150
399,"20220523  11:30:00",714.45,718.5,714.45,717.4,31450
400,"20220523  12:30:00",717.9,718.55,711.2,711.2,69700
401,"20220523  13:30:00",711.6,711.8,703,706.5,56100
402,"20220523  14:30:00",704.95,705.9,702.15,703.7,73100
403,"20220524  09:15:00",703.5,707.65,701.7,701.7,29750
404,"20220524  09:30:00",701.25,703.2,690.55,692.75,115600
405,"20220524  10:30:00",693.8,696.85,689.85,694.3,73950
406,"20220524  11:30:00",695.7,700.4,695.6,697.7,55250
407,"20220524  12:30:00",697.15,701.05,694.1,695.35,54400
408,"20220524  13:30:00",695.95,698.9,689.95,689.95,44200
409,"20220524  14:30:00",691,700.45,689.3,700,75650
410,"20220525  09:15:00",702.35,703.85,699.25,700.85,24650
411,"20220525  09:30:00",700.15,700.2,691,693.8,69700
412,"20220525  10:30:00",693.1,697,691.15,695.75,58650
413,"20220525  11:30:00",695,695.1,684.25,689.1,100300
414,"20220525  12:30:00",687.25,696.3,687.25,696.3,234600
415,"20220525  13:30:00",695.65,695.65,684.2,691.75,94350
416,"20220525  14:30:00",691.65,692.65,683.2,684.05,78200
417,"20220526  09:15:00",686.15,687.3,684.55,685.7,33150
418,"20220526  09:30:00",684.95,684.95,664.95,665.85,141950
419,"20220526  10:30:00",663.85,669.3,662.45,668.8,85000
420,"20220526  11:30:00",668.65,679.75,668.55,677.9,82450
421,"20220526  12:30:00",678.9,689.1,677.6,689.1,104550
422,"20220526  13:30:00",690,696.85,686.55,690.65,97750
423,"20220526  14:30:00",690.35,695.1,689.4,693.4,99450
424,"20220527  09:15:00",702.8,714.9,697.75,713.9,63750
425,"20220527  09:30:00",713.95,713.95,701.8,703.85,78200
426,"20220527  10:30:00",702.95,709.4,699.9,701.65,34850
427,"20220527  11:30:00",702.1,703,698.3,703,31450
428,"20220527  12:30:00",704,704.5,700.6,703.15,28050
429,"20220527  13:30:00",703.85,708.8,702.6,707.2,42500
430,"20220527  14:30:00",707.3,710.85,705.5,709.4,107100
431,"20220530  09:15:00",714.65,735.95,714.65,721.95,134300
432,"20220530  09:30:00",721.05,740.85,720.45,739.3,200600
433,"20220530  10:30:00",740.4,744.4,734.45,743.4,102850
434,"20220530  11:30:00",743.45,757.8,741.25,756.05,194650
435,"20220530  12:30:00",756.05,756.05,747.4,749.85,104550
436,"20220530  13:30:00",749.45,749.45,742.6,748.1,62900
437,"20220530  14:30:00",748.6,752.7,746.5,751.55,208250
438,"20220531  09:15:00",732.4,735.9,725.95,727.75,124950
